Date,Close/Last,Volume,Open,High,Low
2/18/2022,$236.42 ,76125490,$246.68 ,$249.86 ,$231 
2/17/2022,$245.07 ,81059510,$256.30 ,$257.85 ,$241.65 
2/16/2022,$265.11 ,73267630,$262.59 ,$265.82 ,$255.52 
2/15/2022,$264.95 ,70175280,$249.49 ,$265.45 ,$247.84 
2/14/2022,$242.67 ,44042440,$239.34 ,$248.75 ,$237.55 
2/11/2022,$239.49 ,60547200,$259.16 ,$261.52 ,$237.73 
2/10/2022,$258.24 ,51319970,$259.95 ,$269.25 ,$256 
2/9/2022,$267.05 ,52428170,$256.22 ,$267.25 ,$253.53 
2/8/2022,$251.08 ,41035860,$243.59 ,$252.30 ,$239.80 
2/7/2022,$247.28 ,37686750,$243.72 ,$251.82 ,$242.02 
2/4/2022,$243.19 ,35482850,$239.72 ,$246.35 ,$236.32 
2/3/2022,$239.48 ,41017780,$244.58 ,$250.77 ,$237.80 
2/2/2022,$252.42 ,54341940,$257.94 ,$258.17 ,$245.53 
2/1/2022,$246.38 ,51892520,$251.04 ,$251.45 ,$238.90 
1/31/2022,$244.86 ,56467970,$231.82 ,$245.09 ,$230.52 
1/28/2022,$228.40 ,54377430,$220.12 ,$228.58 ,$212.96 
1/27/2022,$219.44 ,57335270,$235.68 ,$239.95 ,$216.75 
1/26/2022,$227.72 ,75595870,$232.40 ,$240.57 ,$223 
1/25/2022,$223.24 ,66461640,$225.46 ,$229.43 ,$220 
1/24/2022,$233.72 ,91581060,$223.30 ,$233.80 ,$208.88 
1/21/2022,$233.74 ,71895780,$235.07 ,$248.23 ,$232.63 
1/20/2022,$241.50 ,43518070,$253.04 ,$255.79 ,$240.78 
1/19/2022,$250.67 ,48831450,$260.79 ,$265.43 ,$250.52 
1/18/2022,$259.03 ,42530620,$262.60 ,$266.38 ,$257.70 
1/14/2022,$269.42 ,39583240,$263 ,$271.97 ,$262.10 
1/13/2022,$265.75 ,53886810,$283.79 ,$284.80 ,$264.98 
1/12/2022,$279.99 ,38341350,$280.67 ,$285.95 ,$276.08 
1/11/2022,$278.17 ,40408930,$273.23 ,$280.65 ,$268.39 
1/10/2022,$274 ,59468100,$265.81 ,$274.69 ,$256.44 
1/7/2022,$272.47 ,40993850,$281.41 ,$284.22 ,$270.57 
1/6/2022,$281.78 ,45418640,$276.40 ,$284.38 ,$270.65 
1/5/2022,$276.04 ,49806390,$289.49 ,$294.16 ,$275.33 
1/4/2022,$292.90 ,52715440,$302.77 ,$304.68 ,$283.49 
1/3/2022,$301.21 ,39240290,$298.15 ,$307.11 ,$297.85 
12/31/2021,$294.11 ,26652990,$296.74 ,$300.30 ,$293.31 
12/30/2021,$295.86 ,30886420,$298.27 ,$304.57 ,$295.40 
12/29/2021,$300.01 ,34313930,$302.73 ,$305.48 ,$293.66 
12/28/2021,$303.22 ,42059120,$313.12 ,$313.30 ,$300.12 
12/27/2021,$309.45 ,40368590,$296.60 ,$310.87 ,$296.40 
12/23/2021,$296.40 ,34302170,$297.55 ,$300.59 ,$294.31 
12/22/2021,$294 ,39518440,$288.91 ,$295.55 ,$284.49 
12/21/2021,$290.75 ,52438490,$283.74 ,$291.20 ,$274.01 
12/20/2021,$277.19 ,46184680,$273.05 ,$281.44 ,$271.45 
12/17/2021,$278.01 ,71662240,$279.85 ,$289.22 ,$277.60 
12/16/2021,$283.87 ,70736600,$311.52 ,$311.60 ,$280.93 
12/15/2021,$304.59 ,69829690,$284 ,$305 ,$278.38 
12/14/2021,$283.37 ,66703540,$276.99 ,$286.78 ,$272.50 
12/13/2021,$281.61 ,59834370,$302.49 ,$302.94 ,$281.16 
12/10/2021,$301.98 ,48882510,$311.50 ,$313.05 ,$298.61 
12/9/2021,$304.90 ,48850720,$317.34 ,$322.05 ,$304.28 
12/8/2021,$318.26 ,47555150,$319.99 ,$322.90 ,$314.21 
12/7/2021,$324.27 ,59305350,$309.57 ,$324.49 ,$306.51 
12/6/2021,$300.37 ,65893850,$298.80 ,$302.41 ,$280.38 
12/3/2021,$306.93 ,54432510,$320 ,$321.29 ,$301.30 
12/2/2021,$321.26 ,47289030,$312.14 ,$324.78 ,$310.25 
12/1/2021,$314.35 ,48580200,$332.19 ,$332.89 ,$313.80 
11/30/2021,$326.76 ,62206650,$331.69 ,$333.53 ,$318.64 
11/29/2021,$333.76 ,45496400,$323.66 ,$334.12 ,$320.36 
11/26/2021,$315.03 ,28306890,$326 ,$327.10 ,$313.50 
11/24/2021,$326.74 ,43516230,$314.61 ,$328.55 ,$309.28 
11/23/2021,$317.46 ,53216270,$315.35 ,$323.60 ,$308.80 
11/22/2021,$319.56 ,75433520,$335.17 ,$346.47 ,$319 
11/19/2021,$329.85 ,53386670,$322.43 ,$330.88 ,$319.05 
11/18/2021,$316.75 ,78171080,$323.67 ,$327.60 ,$313.21 
11/17/2021,$292.61 ,42850800,$304.18 ,$305.09 ,$288 
11/16/2021,$302.03 ,26448370,$297.59 ,$303.90 ,$297.06 
11/15/2021,$300.25 ,38490900,$305.52 ,$306.44 ,$292.47 
11/12/2021,$303.90 ,41305430,$300.10 ,$306.80 ,$296.30 
11/11/2021,$303.90 ,33217210,$304.68 ,$305.90 ,$297.77 
11/10/2021,$294.59 ,63620570,$293.56 ,$308.50 ,$287.78 
11/9/2021,$306.57 ,64674620,$322.82 ,$323.10 ,$299.64 
11/8/2021,$308.04 ,50310090,$301.49 ,$311 ,$299.07 
11/5/2021,$297.52 ,85126020,$301.87 ,$314 ,$294.10 
11/4/2021,$298.01 ,115363100,$272.29 ,$313.65 ,$271.18 
11/3/2021,$265.98 ,23991030,$266.70 ,$267.84 ,$262.35 
11/2/2021,$264.01 ,29411240,$258.22 ,$266.78 ,$258 
11/1/2021,$258.27 ,26573980,$256.49 ,$258.94 ,$252.27 
10/29/2021,$255.67 ,29250280,$250.01 ,$257.09 ,$250 
10/28/2021,$249.41 ,23420430,$248.78 ,$249.50 ,$245.23 
10/27/2021,$244.51 ,24598990,$244.74 ,$250.90 ,$242.82 
10/26/2021,$247.17 ,48589830,$239.89 ,$252.59 ,$239.24 
10/25/2021,$231.66 ,23023480,$229.73 ,$233.55 ,$227.70 
10/22/2021,$227.26 ,24938380,$228.23 ,$231.30 ,$225.61 
10/21/2021,$226.92 ,18759030,$220.97 ,$227.11 ,$220.83 
10/20/2021,$221.03 ,14627590,$223.05 ,$224.33 ,$219.82 
10/19/2021,$222.90 ,16147330,$222.76 ,$223.79 ,$220.37 
10/18/2021,$222.22 ,18949360,$217.49 ,$222.91 ,$216.44 
10/15/2021,$218.62 ,22699400,$218.10 ,$219.31 ,$216.62 
10/14/2021,$217.46 ,24358880,$212.88 ,$217.55 ,$211.22 
10/13/2021,$209.39 ,18065190,$209.18 ,$209.90 ,$207.13 
10/12/2021,$206.71 ,16213350,$208.28 ,$210.57 ,$205.28 
10/11/2021,$206.95 ,16338750,$205.75 ,$210.63 ,$205.11 
10/8/2021,$208.31 ,15125790,$211.01 ,$212.06 ,$207.75 
10/7/2021,$210.75 ,25691890,$210.92 ,$213.22 ,$209.72 
